Totals for data,Async,Foundation,KnownOrigin,Makersplace,Nifty Gateway,OpenSea,Rarible,SuperRare,Zora
2020-10-29,1430329,0,14379500,45987965,31580265,229377748,402981506,31124336,0
2020-10-28,2306524,0,10574597,49748492,46448131,261816975,463553481,33958366,0
2020-10-27,2577892,0,10848794,43487379,68440416,278939606,507460171,35149372,0
2020-10-26,5739662,0,8560496,49581418,80915116,260434997,614418134,39703853,0
2020-10-25,7693923,0,13697467,35201590,2507965,227714569,627057349,27601346,0
2020-10-24,22289710,0,16947921,41344387,85297217,242043387,674708177,28438958,0
2020-10-23,5833795,0,13485160,76649750,19058636,230234174,611654411,34259981,0
2020-10-22,2323071,0,14824925,27214601,4165566,192287706,577759865,40825175,0
2020-10-21,4603098,0,14855272,25813854,15879775,209876794,611359412,35770147,0
2020-10-20,1974493,0,16791071,32096973,95937926,251794078,657965786,44260403,0
2020-10-19,3697352,0,16378574,69445015,2881936,262642567,729453464,45502447,0
2020-10-18,9571208,0,13572914,161395587,13759971,274963048,792293560,40947435,0
2020-10-17,2625448,0,10822065,33331859,2849567,307043298,672229809,32600506,0
2020-10-16,4368668,0,7537983,48745067,446476,289163382,612361309,41352976,0
2020-10-15,10194541,0,13877515,33656417,7144512,284575421,546132941,39232458,0
2020-10-14,10547056,0,5737736,31360808,993426,292074788,479975645,45227483,0
2020-10-13,11454342,0,12276868,23323523,29918914,296199482,440732902,43450559,0
2020-10-12,13649324,0,8045786,25325406,1053684,288643570,515746713,43460001,0
2020-10-11,25804358,0,8759896,44244098,1594642,422899714,568162191,35261048,0
2020-10-10,1352104,0,11528293,90359126,3151613,409528859,701684493,41732534,0
2020-10-09,35207845,0,9990929,32536251,41061158,255528851,628551762,40465338,0
2020-10-08,5631215,0,10159694,32905881,1663837,341024772,610918311,39870048,0
2020-10-07,1247639,0,4527746,74052260,1786366,304459136,543496012,30911768,0
2020-10-06,1242392,0,10784005,25074338,5354463,234553354,521357037,36781198,0
2020-10-05,1021135,0,12426812,20845234,77077289,277871697,617074690,39466967,0
2020-10-04,2286694,0,5981030,21429294,2992117,301660866,595658529,29659186,0
2020-10-03,4942444,0,12085128,34931774,475933,352720586,558777357,24951345,0
2020-10-02,1114375,0,11524372,28040658,1199444,261980144,487435263,36358786,0
2020-10-01,2952989,0,7631745,24708834,842655,353835560,512655094,41259811,0
2020-09-30,3240234,0,11249073,24997302,1703230,363619203,527917161,33706846,0
2020-09-29,8028765,0,8426614,28867569,56234007,423456462,556664946,31249828,0
2020-09-28,4853550,0,9159752,17907045,1290351,540451418,586708474,36758675,0
2020-09-27,498422,0,13327380,30481816,1553226,421252850,691790447,31398646,0
2020-09-26,4548128,0,10616131,111832200,6417281,187640588,604576797,27944858,0
2020-09-25,637375,0,14576952,19523469,4403469,219635223,624739583,37481159,0
